Sno,Wall Dist,T2T Dist,T1-E Dist,T2-E Dist
0,18,112,,
1,18,112,,
2,18,112,,
3,33,112,,
4,33,112,,
5,33,112,,
6,47.5,112,,
7,47.5,112,,
8,47.5,112,,
9,60,112,,
10,60,112,,
11,60,112,,
12,75,112,,
13,75,112,,
14,75,112,,
15,92,112,,
16,92,112,,
17,92,112,,
18,111,112,,
19,111,112,,
20,111,112,,
21,126,112,,
22,126,112,,
23,126,112,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
