Exc-wall dist (cm),Tag start pos (cm),Tag Voltage (mV)
222.3,17.0,[202.91 202.37 202.91 203.21 202.75 202.75 202.68 202.68]
222.3,18.0,[204.43 204.51 204.2  204.36 204.28 204.43 204.43 203.97]
222.3,19.0,[205.2  204.74 204.89 204.97 204.59 204.51 204.36 204.59]
222.3,20.0,[208.32 208.71 208.4  208.32 208.02 208.17 208.55 208.71]
222.3,21.0,[206.26 207.1  206.72 206.42 206.11 206.49 206.03 206.49]
222.3,22.0,[199.09 198.79 198.94 198.63 198.71 198.48 198.41 198.79]
222.3,23.0,[180.09 179.64 179.87 179.71 179.79 179.48 179.48 179.56]
222.3,24.0,[179.18 178.87 179.41 179.18 179.18 178.65 179.41 178.95]
222.3,25.0,[175.67 175.29 175.52 174.83 175.29 175.44 175.06 174.98]
222.3,26.0,[161.25 160.79 161.1  160.94 160.94 160.72 161.17 160.56]
222.3,27.0,[173.3  173.15 173.61 173.46 173.46 173.69 173.08 173.3 ]
222.3,28.0,[165.52 165.98 165.6  165.22 165.67 165.9  165.29 165.75]
222.3,29.0,[162.32 162.24 161.94 161.63 161.78 161.86 162.32 162.47]
222.3,30.0,[157.59 157.43 157.89 157.89 157.66 157.28 157.82 157.59]
222.3,31.0,[151.56 151.48 152.25 151.94 152.09 152.25 151.94 151.56]
222.3,32.0,[150.11 150.34 149.81 150.26 150.87 150.57 150.72 150.57]
222.3,33.0,[152.09 152.25 151.79 151.94 151.64 151.79 151.94 151.94]
222.3,34.0,[154.   154.   154.08 153.85 153.54 153.77 153.85 153.54]
222.3,35.0,[151.1  151.03 150.8  150.87 151.18 151.26 151.33 150.95]
222.3,36.0,[144.08 144.39 144.69 144.16 144.69 143.93 144.46 144.24]
222.3,37.0,[151.1  151.18 151.1  150.87 150.72 151.33 151.33 151.18]
222.3,38.0,[135.61 136.   135.46 135.84 135.46 135.84 135.16 135.77]
222.3,39.0,[147.29 146.52 146.6  147.21 147.21 146.83 146.22 146.91]
222.3,40.0,[164.68 163.69 164.07 163.92 163.54 164.53 163.92 164.3 ]
222.3,41.0,[174.45 173.91 174.45 173.61 173.69 173.3  174.07 173.84]
222.3,42.0,[181.24 181.01 181.09 181.32 181.54 181.54 181.24 181.54]
222.3,43.0,[198.79 198.94 198.79 198.71 198.48 199.02 198.56 198.94]
222.3,44.0,[197.11 196.5  197.11 197.03 196.42 196.42 196.57 196.5 ]
222.3,45.0,[202.83 202.53 202.68 202.53 202.45 202.37 202.3  202.53]
222.3,46.0,[207.56 206.72 207.48 207.79 207.79 207.33 207.41 207.03]
222.3,47.0,[210.31 210.92 210.15 210.61 210.84 210.61 210.77 210.31]
222.3,48.0,[216.72 216.56 216.49 217.1  216.56 216.26 216.26 216.56]
222.3,49.0,[219.69 219.62 219.84 219.84 220.   220.3  220.38 219.62]
222.3,50.0,[222.97 222.97 222.9  223.51 223.28 222.82 223.28 223.13]
222.3,51.0,[228.39 227.93 228.62 228.31 228.24 228.08 228.24 228.85]
222.3,52.0,[241.89 242.05 241.28 242.5  241.21 242.5  241.51 242.5 ]
222.3,53.0,[246.62 246.4  247.16 246.32 246.55 246.62 246.47 246.85]
222.3,54.0,[255.78 255.47 255.17 255.47 255.93 255.32 255.25 255.47]
222.3,55.0,[263.1  263.33 263.26 262.87 262.87 263.26 263.56 262.95]
222.3,56.0,[273.33 271.95 272.49 272.64 272.18 272.11 272.18 272.87]
222.3,57.0,[274.24 273.4  274.24 273.63 273.79 273.4  274.09 273.71]
222.3,58.0,[280.65 279.89 279.66 280.8  280.04 280.19 280.5  279.89]
222.3,59.0,[281.03 280.58 280.65 280.19 280.8  280.65 280.96 280.27]
222.3,60.0,[276.61 276.23 275.69 276.3  276.   275.92 275.69 275.46]
222.3,61.0,[248.38 249.22 248.3  248.61 248.68 249.52 248.15 248.61]
222.3,62.0,[240.06 239.15 239.6  239.68 239.91 239.91 239.22 240.06]
222.3,63.0,[231.29 231.29 232.13 231.75 232.13 231.29 231.52 231.44]
222.3,64.0,[224.88 223.89 224.19 224.65 224.12 224.73 223.81 224.73]
222.3,65.0,[212.44 212.67 212.52 212.44 212.6  212.14 212.29 212.37]
222.3,66.0,[205.65 205.42 204.89 205.58 205.04 205.2  205.81 205.2 ]
222.3,67.0,[196.8  197.41 196.8  196.35 196.8  196.57 196.42 195.81]
222.3,68.0,[193.29 193.52 193.45 193.68 193.29 193.83 193.06 193.37]
222.3,69.0,[194.44 194.67 194.51 194.44 194.36 194.44 193.6  194.36]
222.3,70.0,[196.73 196.88 196.5  196.88 196.42 196.5  197.11 196.96]
222.3,71.0,[193.6  193.75 194.67 194.06 193.98 193.68 193.52 193.6 ]
222.3,72.0,[192.   191.92 191.92 192.07 192.15 192.15 192.3  191.77]
222.3,73.0,[189.1  189.1  188.87 189.86 189.56 189.56 189.25 189.4 ]
222.3,74.0,[185.28 184.75 185.44 184.82 184.98 184.9  185.51 185.51]
222.3,75.0,[182.46 182.31 182.31 182.69 182.   182.38 181.47 181.93]
